"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"148",2612901,"26",448.076470588235,497.021176470588,497.24,451.662352941176,517.411764705882
"149",2613008,"26",464.90597826087,511.064565217391,506.260434782609,469.092173913043,506.978260869565
"150",2613107,"26",466.408924205379,518.43728606357,513.33630806846,474.252078239609,519.402200488998
"151",2613206,"26",463.425132743363,514.141415929204,501.190088495575,461.455398230089,509.982300884956
"152",2613305,"26",465.423093681917,513.639651416122,502.584095860566,465.459694989107,496.427015250545
"153",2613404,"26",461.367153284672,502.873722627737,498.610705596107,457.465206812652,493.722627737226
"154",2613503,"26",465.866381766382,511.233428300095,505.014339981007,470.810636277303,520.46628679962
"155",2613602,"26",467.68323699422,518.510886319846,512.393352601156,478.092003853565,518.362235067437
"156",2613701,"26",470.129054702495,526.50712571977,510.33037428023,468.764707293666,516.129078694818
"157",2613800,"26",458.083982683983,513.552164502164,505.954112554113,453.334199134199,512.380952380952
"158",2613909,"26",472.055768005099,523.62597195666,512.38476736775,479.895347355003,533.301465901848
"159",2614006,"26",462.08590021692,504.039479392625,494.627982646421,462.952711496746,508.733188720174
"160",2614105,"26",461.758654906284,514.374862183021,507.837045203969,469.92381477398,509.6802646086
"161",2614204,"26",455.492375,497.838375,492.25275,450.068125,468.95
"162",2614303,"26",464.435398230088,508.474041297935,496.545722713864,461.695575221239,517.227138643068
"163",2614402,"26",448.527358490566,497.412264150943,487.153773584906,454.467924528302,444.905660377359
"164",2614501,"26",476.92045562411,528.231181775036,518.416563834836,486.100379686758,543.720930232558
"165",2614600,"26",467.82682379349,513.66835016835,508.321436588103,483.941863075196,530.617283950617
"166",2614709,"26",457.394857142857,516.002285714286,506.309714285714,470.660571428571,527.428571428571
"167",2614808,"26",452.370077220077,496.804054054054,491.615057915058,447.366988416988,497.065637065637
"168",2614857,"26",464.312254901961,507.063725490196,499.237990196078,456.26862745098,502.058823529412
"169",2615003,"26",468.630784313725,525.745882352941,518.211960784314,474.515490196078,536.078431372549
"170",2615102,"26",464.419718309859,521.557746478873,506.099295774648,469.723943661972,511.049295774648
"171",2615201,"26",454.772530864198,505.297222222222,495.854938271605,471.312962962963,518.456790123457
"172",2615300,"26",472.169665386725,524.476522216127,508.367361492046,473.496708721887,529.862863411958
"173",2615409,"26",459.391938997821,513.917320261438,505.977559912854,471.079520697168,496.622004357298
"174",2615508,"26",459.64185520362,503.381221719457,496.601131221719,451.612895927602,505.52036199095
"175",2615607,"26",454.731544715447,503.156422764228,495.565853658537,458.737235772358,482.634146341463
"176",2615706,"26",472.644992743106,527.312336719884,514.183599419448,487.100725689405,552.2206095791
"177",2615805,"26",458.518530351438,508.261022364217,499.302875399361,463.068690095847,516.996805111821
"178",2615904,"26",471.602822580645,521.196774193548,513.545564516129,480.5,522.338709677419
"179",2616001,"26",466.712043010753,521.54688172043,508.249677419355,471.506451612903,519.010752688172
"180",2616100,"26",450.465591397849,487.805734767025,484.421863799283,452.912186379928,460.430107526882
"181",2616183,"26",461.755089820359,513.687425149701,505.205988023952,473.104191616766,521.077844311377
"182",2616209,"26",471.488343558282,518.905828220859,511.397852760736,483.053987730061,524.78527607362
"183",2616308,"26",459.577579617834,509.948407643312,501.410063694268,453.250445859873,502.573248407643
"184",2616407,"26",476.670131366674,530.644042406084,516.500967964969,480.911846047476,544.828301451947
"185",2616506,"26",454.096265560166,498.101244813278,498.401244813278,444.504564315353,499.502074688797
"186",2900108,"29",469.454716981132,511.805660377358,505.553773584906,471.990566037736,498.301886792453
"187",2900207,"29",438.466981132075,482.787735849057,477.28679245283,437.638679245283,456.88679245283
"188",2900306,"29",451.117307692308,509.132692307692,495.396474358974,448.659615384615,498.846153846154
