"","data","nome_aeroporto","tipo_transporte","tipo_voo","pousos_no_mes","decolagens_no_mes","pou_dec_no_mes","embarcado_no_mes","desembarcado_no_mes","emb_desemb_no_mes","carregada_no_mes","descarregada_no_mes","car_descar_no_mes","transito_no_mes"
"229",2012-08-01,"sbht","transporte regular","voo doméstico",266,266,532,7071,6943,14014,0,0,0,0
"230",2012-08-01,"sbht","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"231",2012-08-01,"sbht","transporte não regular","voo doméstico",155,157,312,149,152,301,13177,20325,33502,9664
"232",2012-08-01,"sbht","transporte não regular","voo internacional",1,1,2,0,0,0,0,0,0,0
"233",2012-08-01,"sbiz","transporte regular","voo doméstico",185,184,369,14821,16226,31047,0,0,0,0
"234",2012-08-01,"sbiz","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"235",2012-08-01,"sbiz","transporte não regular","voo doméstico",176,172,348,412,455,867,0,0,0,0
"236",2012-08-01,"sbiz","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"237",2012-08-01,"sbjc","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"238",2012-08-01,"sbjc","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"239",2012-08-01,"sbjc","transporte não regular","voo doméstico",821,826,1647,1296,1314,2610,0,0,0,0
"240",2012-08-01,"sbjc","transporte não regular","voo internacional",1,2,3,0,0,0,0,0,0,0
"241",2012-08-01,"sbjr","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"242",2012-08-01,"sbjr","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"243",2012-08-01,"sbjr","transporte não regular","voo doméstico",3593,3600,7193,8589,3687,12276,0,0,0,0
"244",2012-08-01,"sbjr","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"245",2012-08-01,"sbjv","transporte regular","voo doméstico",298,297,595,17746,17436,35182,0,0,0,0
"246",2012-08-01,"sbjv","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"247",2012-08-01,"sbjv","transporte não regular","voo doméstico",140,138,278,235,1075,1310,0,0,0,0
"248",2012-08-01,"sbjv","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"249",2012-08-01,"sblo","transporte regular","voo doméstico",647,646,1293,50032,49329,99361,0,0,0,0
"250",2012-08-01,"sblo","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"251",2012-08-01,"sblo","transporte não regular","voo doméstico",929,926,1855,623,563,1186,0,0,0,0
"252",2012-08-01,"sblo","transporte não regular","voo internacional",3,0,3,0,0,0,0,0,0,0
"253",2012-08-01,"sbma","transporte regular","voo doméstico",459,459,918,17739,17771,35510,0,0,0,0
"254",2012-08-01,"sbma","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"255",2012-08-01,"sbma","transporte não regular","voo doméstico",276,278,554,475,818,1293,0,0,0,0
"256",2012-08-01,"sbma","transporte não regular","voo internacional",6,6,12,0,0,0,0,0,0,0
