CODMUNRES,n_obitos,n_obitos_tb,n_obitos_mulheres,prop_mulheres,n_obitos_menos5,CITY,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_RES_POP_ESTR,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao
291390,380,3,147,38.68421052631579,0,ipiaú,44390,44390,0,13079,11851,1228,40187,629,2362,3302,3639,25630,4625,5627,9409,2672,0.67,0.687,0.796,0.551
291400,413,2,171,41.404358353510894,2,ipirá,59343,59343,0,17102,8897,8205,28959,414,1871,2553,2730,17985,3406,2250,470,5209,0.55,0.568,0.748,0.39
291410,82,1,34,41.46341463414634,1,ipupiara,9285,9285,0,2736,1778,958,5969,93,349,462,518,3637,910,1236,1828,4412,0.59,0.558,0.736,0.499
291420,36,1,15,41.66666666666667,0,irajuba,7002,7002,0,2115,1008,1107,3273,39,224,300,366,1907,437,699,3189,4723,0.58,0.544,0.776,0.453
291430,52,0,18,34.61538461538461,0,iramaia,11990,11990,0,3243,1527,1716,5392,103,350,496,569,3221,653,1067,2399,4839,0.57,0.543,0.74,0.463
291440,152,0,64,42.10526315789473,1,iraquara,22601,22601,0,6123,1968,4155,6746,121,446,661,719,4128,671,5634,27193,4171,0.599,0.548,0.749,0.523
291450,201,0,92,45.77114427860697,0,irará,27466,27466,0,7821,3382,4439,11161,157,684,915,1025,7121,1259,10795,12219,3709,0.62,0.587,0.809,0.501
291460,460,3,169,36.73913043478261,4,irecê,66181,66181,0,19667,18132,1535,60828,913,3983,5305,5928,39713,4986,2095,2805,2167,0.691,0.661,0.776,0.643
291465,205,0,74,36.09756097560975,0,itabela,28390,28374,16,7992,5960,2032,21160,409,1603,2185,2413,12826,1724,7288,71116,4186,0.599,0.614,0.751,0.465
291470,450,0,182,40.44444444444444,2,itaberaba,61631,61631,0,17774,14074,3700,48344,675,3129,4300,4510,30650,5080,2334,27998,3707,0.62,0.638,0.769,0.485
291480,1627,12,685,42.1020282728949,11,itabuna,204667,204514,153,63130,61630,1499,198171,2717,10664,14986,16676,131433,21695,7553,6307,1562,0.71,0.695,0.807,0.643
291490,108,1,35,32.407407407407405,1,itacaré,24318,24192,126,6849,3964,2885,13281,242,1113,1366,1419,8303,838,18600,37316,4588,0.583,0.594,0.807,0.413
291500,68,0,23,33.82352941176471,1,itaeté,14924,14918,6,4093,1779,2314,6186,101,456,624,675,3578,752,1644,2322,4811,0.57,0.536,0.719,0.485
291510,113,0,49,43.36283185840708,0,itagi,13051,13051,0,3706,2896,810,10202,146,603,913,1103,6023,1414,5751,12594,5291,0.54,0.543,0.694,0.426
291520,92,0,29,31.521739130434785,0,itagibá,15193,15193,0,4272,2629,1643,9519,150,555,799,814,5913,1288,3917,5345,4442,0.589,0.566,0.77,0.469
291530,63,0,30,47.61904761904761,1,itagimirim,7110,7110,0,2170,1715,455,5643,77,356,544,567,3373,726,324,1490,3425,0.634,0.602,0.821,0.516
291535,66,0,25,37.878787878787875,1,itaguaçu da bahia,13209,13209,0,3544,740,2804,2591,44,182,222,263,1612,268,1375,5631,5022,0.562,0.55,0.74,0.435
291540,39,0,16,41.02564102564102,1,itaju do colônia,7309,7309,0,1588,1212,376,5857,95,427,625,589,3372,749,1157,1388,4357,0.59,0.57,0.724,0.502
291550,176,0,63,35.79545454545455,1,itajuípe,21081,21081,0,6414,5087,1327,16830,231,977,1366,1546,10505,2205,15101,28582,4189,0.599,0.609,0.759,0.466
291560,474,4,190,40.08438818565401,4,itamaraju,63069,63058,11,18695,14690,4005,49520,786,3140,4545,4878,31043,5128,17769,188823,3535,0.627,0.641,0.767,0.502
291570,42,0,17,40.476190476190474,0,itamari,7903,7903,0,2400,1751,649,5805,109,408,563,585,3452,688,5419,13845,4689,0.578,0.595,0.713,0.454
291580,186,0,65,34.946236559139784,1,itambé,23089,23089,0,6149,5155,994,19651,258,1219,1921,1992,11925,2336,1627,4495,4691,0.578,0.589,0.75,0.436
291590,30,1,15,50,0,itanagra,7598,7598,0,2167,661,1506,2324,36,149,259,221,1453,206,180,767,4551,0.584,0.577,0.796,0.433
291600,154,0,59,38.311688311688314,2,itanhém,20216,20216,0,6250,4354,1896,14179,175,759,1110,1389,8584,2162,2711,22186,3370,0.637,0.624,0.79,0.525
291610,145,0,48,33.10344827586207,1,itaparica,20725,20685,40,6364,6364,NA,19132,265,1139,1616,1925,12289,1898,17,118,2670,0.67,0.657,0.826,0.553
291620,86,1,45,52.32558139534884,0,itapé,10995,10995,0,3343,2211,1132,7156,116,449,603,639,4408,941,836,901,4194,0.599,0.574,0.761,0.491
291630,78,0,29,37.17948717948718,0,itapebi,10495,10489,6,3033,2359,674,8242,156,562,874,976,4816,858,1806,4308,4814,0.57,0.568,0.718,0.458
291640,523,3,227,43.40344168260038,2,itapetinga,68273,68255,18,19304,18677,627,66156,1017,4112,5549,5958,42585,6935,8,100,2751,0.667,0.667,0.79,0.562
291650,180,0,66,36.666666666666664,2,itapicuru,32261,32261,0,9057,2069,6988,6665,110,462,612,689,3968,824,18741,53982,5548,0.486,0.505,0.711,0.319
291660,55,0,27,49.09090909090909,0,itapitanga,10207,10207,0,2763,1976,787,7553,102,504,662,728,4641,916,1784,4095,4832,0.57,0.536,0.764,0.454
291670,64,0,21,32.8125,0,itaquara,7678,7678,0,2232,1390,842,4601,75,291,343,472,2811,609,232,1005,5163,0.55,0.539,0.763,0.411
291680,109,1,42,38.53211009174312,0,itarantim,18539,18539,0,5336,4276,1060,15281,223,911,1349,1442,9423,1933,26,89,3918,0.61,0.608,0.766,0.487
291685,90,0,41,45.55555555555556,1,itatim,14522,14522,0,4189,2974,1215,10082,183,674,939,956,6296,1034,285,282,4600,0.58,0.55,0.782,0.459
291690,102,0,48,47.05882352941176,0,itiruçu,12693,12683,10,3809,2882,927,9509,120,566,833,895,5828,1267,684,4424,4154,0.6,0.588,0.762,0.482
291700,190,0,79,41.578947368421055,2,itiúba,36113,36113,0,10021,2879,7142,9689,138,609,929,980,5821,1212,8637,1850,5286,0.544,0.521,0.775,0.398
